"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inversOf","supersedes","supersededBy","isPartOf"
"http://schema.org/billingAddress","billingAddress","The billing address for the order.","","","","http://schema.org/Order","http://schema.org/PostalAddress","","",""
"http://schema.org/billingIncrement","billingIncrement","This property specifies the minimal quantity and rounding increment that will be the basis for the billing. The unit of measurement is specified by the unitCode property.","","","","http://schema.org/UnitPriceSpecification","http://schema.org/Number","","",""
"http://schema.org/billingPeriod","billingPeriod","The time interval used to compute the invoice.","","","","http://schema.org/Invoice","http://schema.org/Duration","","",""
"http://schema.org/birthDate","birthDate","Date of birth.","","","","http://schema.org/Person","http://schema.org/Date","","",""
"http://schema.org/birthPlace","birthPlace","The place where the person was born.","","","","http://schema.org/Person","http://schema.org/Place","","",""
"http://schema.org/bitrate","bitrate","The bitrate of the media object.","","","","http://schema.org/MediaObject","http://schema.org/Text","","",""
"http://schema.org/blogPost","blogPost","A posting that is part of this blog.","","","","http://schema.org/Blog","http://schema.org/BlogPosting","","http://schema.org/blogPosts",""
"http://schema.org/blogPosts","blogPosts","The postings that are part of this blog.","","","","http://schema.org/Blog","http://schema.org/BlogPosting","","","http://schema.org/blogPost"
"http://schema.org/boardingGroup","boardingGroup","The airline-specific indicator of boarding order / preference.","","","","http://schema.org/FlightReservation","http://schema.org/Text","","",""
"http://schema.org/boardingPolicy","boardingPolicy","The type of boarding policy used by the airline (e.g. zone-based or group-based).","","","","http://schema.org/Airline, http://schema.org/Flight","http://schema.org/BoardingPolicyType","","",""
"http://schema.org/bookEdition","bookEdition","The edition of the book.","","","","http://schema.org/Book","http://schema.org/Text","","",""
"http://schema.org/bookFormat","bookFormat","The format of the book.","","","","http://schema.org/Book","http://schema.org/BookFormatType","","",""
"http://schema.org/bookingAgent","bookingAgent","'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.","","","","http://schema.org/Reservation","http://schema.org/Organization, http://schema.org/Person","","","http://schema.org/broker"
"http://schema.org/bookingTime","bookingTime","The date and time the reservation was booked.","","","","http://schema.org/Reservation","http://schema.org/DateTime","","",""
"http://schema.org/borrower","borrower","A sub property of participant. The person that borrows the object being lent.","http://schema.org/participant","","","http://schema.org/LendAction","http://schema.org/Person","","",""
"http://schema.org/box","box","A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.","","","","http://schema.org/GeoShape","http://schema.org/Text","","",""
"http://schema.org/branchCode","branchCode","A short textual code (also called ""store code"") that uniquely identifies a place of business. The code is typically assigned by the parentOrganization and used in structured URLs.</p>

<p>For example, in the URL http://www.starbucks.co.uk/store-locator/etc/detail/3047 the code ""3047"" is a branchCode for a particular branch.","","","","http://schema.org/Place","http://schema.org/Text","","",""
"http://schema.org/branchOf","branchOf","The larger organization that this local business is a branch of, if any. Not to be confused with (anatomical)<a class=""localLink"" href=""http://schema.org/branch"">branch</a>.","","","","http://schema.org/LocalBusiness","http://schema.org/Organization","","","http://schema.org/parentOrganization"
