stats.criteria.itemtype,COUNT_DISTINCT(domain)
http://schema.org/FollowAction,54
http://schema.org/PublicationVolume,53
http://schema.org/Category,53
http://schema.org/NewsLanding,52
http://schema.org/TrainTrip,52
http://schema.org/MedicalContraindication,52
http://schema.org/restaurant,52
http://schema.org/Organization/LocalBusiness,52
http://schema.org/LodgingBusinessAmenity,52
http://schema.org/Order,52
http://schema.org/ShowEpisode,51
https://schema.org/AggregateRating,51
http://schema.org/offers,51
http://schema.org/email,50
http://schema.org/mobilesoftwareapplication,50
http://schema.org/PostalAddress%C3%A2%E2%82%AC,49
http://schema.org/aboutpage,49
http://schema.org/CreativeWork/Topic,49
http://schema.org/WebPage/,49
http://schema.org/BlogPage,49
http://schema.org/Role,49
http://schema.org/episodes,49
http://schema.org/Object,48
http://schema.org/ItemList/QuestionList,48
http://schema.org/TennisComplex,48
http://schema.org/LocalBusiness/RetirementHome,48
http://schema.org/keywords,48
http://schema.org/Producto,47
http://schema.org/attorney,47
http://schema.org/MedicalStudy,47
http://schema.org/Number,47
http://schema.org/Dentistry,46
http://schema.org/NewsHome,46
http://schema.org/DDxElement,45
http://schema.org/subEvent,45
http://schema.org/contentLocation,45
http://schema.org/Thread,45
http://schema.org/CreditCard,45
http://schema.org/Post,45
https://schema.org/WebPage,45
http://schema.org/UserLikes,44
http://schema.org/map,44
http://schema.org/Diet,43
http://schema.org/service,43
http://schema.org/LocalBusiness/Library,43
http://schema.org/searchresultspage,43
http://schema.org/url,43
http://schema.org/Menu,43
http://schema.org/Manufacturer,42
http://schema.org/BusStop,42
http://schema.org/significantLink,42
http://schema.org/FireStation,42
http://schema.org/intangible/financialquote,42
http://schema.org/realestateagent,42
http://schema.org/MedicalSignOrSymptom,42
http://schema.org/comment,41
http://schema.org/subEvents,41
http://schema.org/Chiropractic,41
http://schema.org/SportsMatchCompetitor,41
http://schema.org/news,40
http://schema.org/priceSpecification,40
http://schema.org/Thing/Tile,40
http://schema.org/LocalBusiness/Automotive,40
http://schema.org/BusinessEntityType,40
http://schema.org/House,39
http://schema.org/Real,39
http://schema.org/SharedContentPosting,39
http://schema.org/TThingext,39
http://schema.org/Localclassified,38
http://schema.org/aggregateOffer,38
http://schema.org/Weight,38
http://schema.org/MusicRelease,37
http://schema.org/Header,37
http://schema.org/PostalAddress%3E,37
http://schema.org/SportsMatch/Soccer,37
http://schema.org/Portal,37
http://schema.org/itemPage,37
http://schema.org/RecipeIngredient,36
http://schema.org/LakeBodyOfWater,36
http://schema.org/Aquarium,36
http://schema.org/ScholarlyWork,35
http://schema.org/acceptedPaymentMethod,35
http://schema.org/RiverBodyOfWater,35
http://schema.org/CreativeWork/Serial,35
http://schema.org/itempage,35
http://schema.org/Home,35
http://schema.org/isRelatedTo,34
http://schema.org/interactionCount,34
http://schema.org/About,34
http://schema.org/dentist,33
http://schema.org/Persona,33
http://schema.org/Thing/Hero,33
http://schema.org/games,33
http://schema.org/Read,33
http://schema.org/SeaBodyOfWater,33
http://schema.org/sourceOrganization,33
http://schema.org/TradeAction,33
http://schema.org/Item,33
http://schema.org/APIReference,33
http://schema.org/LocalBusiness%E2%80%9D%3E%3Cstrong%3E%3Cspan,33
http://schema.org/headline,33
http://schema.org/photograph,33
http://schema.org/FaxNumber,33
http://schema.org/portal,33
http://schema.org/Travel,32
http://schema.org/CreativeWork/ChessGame,32
http://schema.org/GovernmentService,32
http://schema.org/sportsEvent,32
http://schema.org/Organzation,32
http://schema.org/imageGallery,32
http://schema.org/LodgingReservation,32
http://schema.org/Comments,32
http://schema.org/breadcrumb/collection,32
http://schema.org/TypeAndQuantityNode,32
http://schema.org/Itempage,32
http://schema.org/SARL,32
http://schema.org/SiteNavigation,31
http://schema.org/Person/,31
http://schema.org/SingleFamilyResidence/RealEstate,31
http://schema.org/game,31
http://schema.org/founder,31
http://schema.org/Contact,31
http://schema.org/jobposting,31
http://schema.org/ParentAudience,30
http://schema.org/Health,30
http://schema.org/LocalBusiness;,30
http://schema.org/Web,30
http://schema.org/branchOf,30
http://schema.org/EducationalAudience,30
http://schema.org/ComedyClub,30
http://schema.org/Cemetery,30
http://schema.org/products,30
http://schema.org/Thumbnail,30
http://schema.org/primaryImageOfPage,30
http://schema.org/Embassy,29
http://schema.org/TVSeries/Character,29
http://schema.org/SideBar,29
http://schema.org/ParcelDelivery,29
http://schema.org/jobPosting,29
http://schema.org/HttpActionHandler,29
http://schema.org/MedicalGuideline,29
http://schema.org/PerformanceRole,29
http://schema.org/Doctor,28
http://schema.org/BefriendAction,28
http://schema.org/Playground,28
http://schema.org/datePublished,28
http://schema.org/Movies,28
http://schema.org/MedicalIndication,28
http://schema.org/Organización,28
http://schema.org/LoseDecision,28
http://schema.org/CompetitionEvent,27
http://schema.org/MedicalProcedureType,27
http://schema.org/WinDecision,27
http://schema.org/ImageObject/Fotolia,27
http://schema.org/DrugLegalStatus,27
http://schema.org/CityHall,26
http://schema.org/citation,26
http://schema.org/DiagnosticProcedure,26
http://schema.org/Footer,26
http://schema.org/Price,26
http://schema.org/PlayAction,26
http://schema.org/TVSerie,26
http://schema.org/LocalBusines,26
http://schema.org/Media,26
http://schema.org/%E2%80%94,26
"http://schema.org/WebPageElement,http://schema.org/ItemList",26
http://schema.org/http://schema.org/QuantitativeValue,26
http://schema.org/pictures,26
http://schema.org/WebPageElement/Heading,25
http://schema.org/Flights,25
http://schema.org/department,25
http://schema.org/OperatingHours,25
http://schema.org/UsedCondition,25
http://schema.org/Month,25
http://schema.org/LocalAddress,25
http://schema.org/UserAccount,25
http://schema.org/Product/Specification,25
http://schema.org/VenueMap,25
http://schema.org/Mosque,25
http://schema.org/Entertainment,25
http://schema.org/El Comercio,25
http://schema.org/%E2%80%8BOrganization,25
http://schema.org/reviewRating,24
http://schema.org/FinancialServices,24
http://schema.org/DownloadAction,24
http://schema.org/PostalAddress/,24
http://schema.org/itemlist,24
http://schema.org/Actor,24
http://schema.org/Personal,24
http://schema.org/PhysicalActivity,24
http://schema.org/PostAddress,24
http://schema.org/LockSmith,24
http://schema.org/EducationalEvent,24
http://schema.org/subOrganization,24
http://schema.org/Ingredients,24
http://schema.org/Gaming,23
http://schema.org/SellAction,23
http://schema.org/hasMap,23
http://schema.org/Organization%3E%3Ca,23
http://schema.org//ApartmentComplex,23
http://schema.org/BloggerFooter,23
http://schema.org/PlumberPlumber,23
http://schema.org/Forum,23
http://schema.org/BloggerHeader,23
https://schema.org/AutoDealer,23
http://schema.org/DoseSchedule,23
http://schema.org/associatedMedia,23
http://schema.org/Name,23
http://schema.org/Lawyers,23
http://schema.org/BusTrip,23
http://schema.org/productID,22
http://schema.org/Publisher,22
http://schema.org/Thing/Form/Contact,22
http://schema.org/CreateAction,22
http://schema.org/RadioClip,22
http://schema.org/PlasticSurgeon,22
http://schema.org/MedicalSpeciality,22
http://schema.org/Physiotherapy,22
http://schema.org/Photo,22
http://schema.org/professionalservice,22
http://schema.org/eventvenue,22
http://schema.org/price,22
http://schema.org/Courthouse,22
https://schema.org/LocalBusiness,22
http://schema.org/web,22
http://schema.org/Promotion,21
http://schema.org/Online,21
http://schema.org/Education,21
http://schema.org/weight,21
http://schema.org/Product%3E,21
http://schema.org/contactpoint,21
http://schema.org/DrugPrescriptionStatus,21
http://schema.org/General,21
http://schema.org/RsvpAction,21
http://schema.org/%E2%80%8BPlace,21
http://schema.org/MedicineSystem,21
http://schema.org/Insurance,21
http://schema.org/mobileApplication,21
http://schema.org/Places,21
http://schema.org/MedicalAudience,21
http://schema.org/RecipeInstructions,21
http://schema.org/photos,20
http://schema.org/RegisterAction,20
http://schema.org/DateTime,20
http://schema.org/TireStore,20
http://schema.org/DonateAction,20
http://schema.org/Employee,20
http://schema.org/ShareAction,20
http://schema.org/Skiresort,20
http://schema.org/NewsArticleObject,20
